TIMESTAMP: 2015-08-24 13:14:41 (UTC) | [::1]:55049 | /templates/test.html was requested | templates/test.html was accessed
TIMESTAMP: 2015-08-24 13:14:41 (UTC) | [::1]:55049 | /templates/style.css was requested | templates/style.css was accessed
TIMESTAMP: 2015-08-24 13:14:41 (UTC) | [::1]:55049 | /favicon.ico was requested | 404 was accessed
TIMESTAMP: 2015-08-24 13:14:46 (UTC) | [::1]:55049 | / was requested | templates/test.html was accessed
TIMESTAMP: 2015-08-24 13:14:46 (UTC) | [::1]:55049 | /templates/style.css was requested | templates/style.css was accessed
TIMESTAMP: 2015-08-24 13:14:54 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:57 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:57 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:58 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:58 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:59 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:59 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:14:59 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:00 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:02 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:04 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:05 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:06 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:06 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:07 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:08 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:09 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:10 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:10 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:11 (UTC) | [::1]:55049 | /log/visit.log was requested | log/visit.log was accessed
TIMESTAMP: 2015-08-24 13:15:19 (UTC) | [::1]:55049 | /log/ was requested | 404 was accessed
TIMESTAMP: 2015-08-24 13:15:29 (UTC) | [::1]:55049 | / was requested | templates/test.html was accessed
TIMESTAMP: 2015-08-24 13:15:29 (UTC) | [::1]:55049 | /templates/style.css was requested | templates/style.css was accessed
TIMESTAMP: 2015-08-24 13:26:21 (UTC) | [::1]:55168 | / was requested | templates/test.html was accessed
TIMESTAMP: 2015-08-24 13:26:21 (UTC) | [::1]:55168 | /templates/style.css was requested | templates/style.css was accessed
TIMESTAMP: 2015-08-24 13:26:22 (UTC) | [::1]:55168 | / was requested | templates/test.html was accessed
